,source,postcode,house_is,property_subtype,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,swimming_pool_has,region,building_state_agg,facades_number,price
1,6,9999,HOUSE,VILLA,4.0,5.855071922202427,True,False,False,False,0.0,True,6.884486652042782,7.330405211844402,False,F,good,4.0,675000.0
2,6,4020,HOUSE,APARTMENT_BLOCK,5.0,5.713732805509369,True,False,False,False,0.0,False,0.0,6.633318433280377,False,W,to_renovate,0.0,250000.0
3,6,1200,HOUSE,HOUSE,4.0,5.459585514144159,True,True,False,False,0.0,False,0.0,4.143134726391533,False,B,renovated,3.0,545000.0
5,6,4040,HOUSE,HOUSE,3.0,5.298317366548036,True,False,False,False,0.0,True,3.6888794541139363,4.605170185988092,False,W,to_renovate,3.0,189000.0
7,6,1150,HOUSE,APARTMENT_BLOCK,4.0,5.298317366548036,True,False,False,True,1.3862943611198906,True,5.0106352940962555,5.707110264748875,False,B,good,0.0,650000.0
10,6,9600,HOUSE,APARTMENT_BLOCK,6.0,5.541263545158426,True,False,False,True,3.091042453358316,False,0.0,5.3230099791384085,False,F,good,0.0,389000.0
11,6,1030,HOUSE,APARTMENT_BLOCK,3.0,4.919980925828125,True,False,False,True,2.302585092994046,False,0.0,5.272999558563747,False,B,to_renovate,0.0,399000.0
12,6,4500,HOUSE,APARTMENT_BLOCK,5.0,5.991464547107982,True,False,False,True,0.0,True,5.902633333401366,6.401917196727186,False,W,good,0.0,425000.0
13,6,1200,HOUSE,APARTMENT_BLOCK,7.0,6.309918278226516,True,False,False,True,2.995732273553991,True,4.0943445622221,5.598421958998375,False,B,good,0.0,1750000.0
14,6,3270,HOUSE,APARTMENT_BLOCK,3.0,5.3471075307174685,True,False,False,False,0.0,False,0.0,4.77912349311153,False,F,to_renovate,0.0,198000.0
15,6,9999,HOUSE,APARTMENT_BLOCK,1.0,4.770684624465665,True,False,False,False,0.0,False,0.0,4.143134726391533,False,W,to_renovate,0.0,349000.0
17,6,8000,HOUSE,MANSION,3.0,5.44673737166631,True,False,True,True,2.995732273553991,False,0.0,4.8283137373023015,False,F,renovated,2.0,659000.0
18,6,1140,HOUSE,APARTMENT_BLOCK,7.0,5.54907608489522,False,False,False,False,0.0,False,0.0,5.857933154483459,False,B,to_renovate,0.0,695000.0
19,6,8000,HOUSE,MANSION,5.0,5.579729825986222,True,False,False,True,3.6375861597263857,False,0.0,4.700480365792417,False,F,renovated,2.0,795000.0
20,6,6940,HOUSE,EXCEPTIONAL_PROPERTY,7.0,5.8289456176102075,True,False,False,False,0.0,True,8.779557455883728,8.85366542803745,False,W,good,4.0,845000.0
21,6,9999,HOUSE,APARTMENT_BLOCK,4.0,5.598421958998375,True,False,False,True,5.0106352940962555,False,0.0,5.752572638825633,False,W,to_renovate,0.0,225000.0
22,6,4020,HOUSE,APARTMENT_BLOCK,8.0,5.19295685089021,True,False,False,False,0.0,True,4.007333185232471,4.787491742782046,False,W,to_renovate,0.0,280000.0
27,6,6030,HOUSE,APARTMENT_BLOCK,3.0,5.3230099791384085,True,False,False,False,0.0,False,0.0,5.117993812416755,False,W,to_renovate,0.0,275000.0
28,6,1030,HOUSE,APARTMENT_BLOCK,8.0,5.886104031450156,True,False,False,True,2.70805020110221,True,4.174387269895637,4.990432586778736,False,B,to_renovate,0.0,520000.0
29,6,1090,HOUSE,APARTMENT_BLOCK,8.0,5.857933154483459,True,False,False,True,3.6109179126442243,True,4.927253685157205,5.459585514144159,False,B,good,0.0,749000.0
30,6,1050,HOUSE,APARTMENT_BLOCK,5.0,6.214608098422191,True,False,False,True,2.0794415416798357,True,4.867534450455582,5.552959584921617,False,B,to_renovate,0.0,2300000.0
34,6,1150,HOUSE,APARTMENT_BLOCK,3.0,5.393627546352362,True,False,False,True,3.091042453358316,True,4.727387818712341,5.480638923341991,False,B,good,0.0,925000.0
